EXP No,Flag,MAC Address,Advertising Data,Manufacturer Specific Data,SS at 0.02m,SS at 0.5m,SS at 1m,SS at 3m,SS at 5m,DM at 0.02m,DM at 0.5m,DM at 1m,DM at 3m,DM at 5m,Detected
81,0,D3:BC:BA:3B:EE:8D,0X1EFF4C00121910D60B308E463F754B48B925AC19AE5FC58D8F9A90DDDF039C,0X121910D60B308E463F754B48B925AC19AE5FC58D8F9A90DDDF039C,-23,-49,-63,-71,NA,0.322,1.212,1.408,3.375,NA,Yes
82,0,D3:BC:BA:3B:EE:8D,0X1EFF4C00121910D60B308E463F754B48B925AC19AE5FC58D8F9A90DDDF039C,0X121910D60B308E463F754B48B925AC19AE5FC58D8F9A90DDDF039C,-23,-46,-53,-70,NA,0.258,1.628,1.738,3.88,NA,Yes
83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
84,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
85,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
86,0,C8:24:BF:04:CE:6C,0X1EFF4C001219101D15008D34FF7391FE145837ACD3E4A69864579B8AB9016C,0X1219101D15008D34FF7391FE145837ACD3E4A69864579B8AB9016C,-25,-45,-52,-74,-81,0.478,1.886,2.93,4.869,4.946,Yes
87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
88,0,C8:24:BF:04:CE:6C,0X1EFF4C001219101D15008D34FF7391FE145837ACD3E4A69864579B8AB9016C,0X1219101D15008D34FF7391FE145837ACD3E4A69864579B8AB9016C,-23,-48,-55,-71,-79,0.468,1.089,2.199,4.816,7.341,Yes
89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
93,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
94,0,DD:2A:12:99:8C:BD,0X1EFF4C00121910AA75126E6ADDF2EF8AA63A04031A047125E156B1D8D00BD,0X121910AA75126E6ADDF2EF8AA63A04031A047125E156B1D8D00BD,-29,-49,-55,-72,-84,0.401,0.85,2.259,5.189,7.29,Yes
95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
96,0,DD:2A:12:99:8C:BD,0X1EFF4C00121910AA75126E6ADDF2EF8AA63A04031A047125E156B1D8D00BD,0X121910AA75126E6ADDF2EF8AA63A04031A047125E156B1D8D00BD,-27,-46,-55,-73,-80,0.404,1.133,2.854,2.759,4.99,Yes
97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
98,0,C8:24:BF:04:CE:6C,0X1EFF4C001219101D15008D34FF7391FE145837ACD3E4A69864579B8AB9010D,0X1219101D15008D34FF7391FE145837ACD3E4A69864579B8AB9010D,-25,-47,-63,-70,NA,0.446,1.62,2.097,3.825,NA,Yes
99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
100,0,DD:2A:12:99:8C:BD,0X1EFF4C00121910AA75126E6ADDF2EF8AA63A04031A047125E156B1D8D002F,0X121910AA75126E6ADDF2EF8AA63A04031A047125E156B1D8D002F,-27,-46,-63,-72,NA,0.398,1.215,1.032,3.98,NA,Yes
101,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
102,0,F8:0A:DA:33:07:BA,0X1EFF4C00121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F993701BA,0X121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F993701BA,-24,-49,-53,-74,-83,0.371,1.799,2.227,3.748,5.206,Yes
103,0,F8:0A:DA:33:07:BA,0X1EFF4C00121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F993701BA,0X121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F993701BA,-23,-45,-63,-70,-78,0.294,0.879,1.32,5.168,5.749,Yes
104,0,F8:0A:DA:33:07:BA,0X1EFF4C00121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F993701BA,0X121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F993701BA,-24,-48,-58,-73,-77,0.42,1.489,1.547,2.279,7.632,Yes
105,0,F8:0A:DA:33:07:BA,0X1EFF4C00121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F99370136,0X121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F99370136,-25,-49,-60,-74,-78,0.213,0.814,2.156,2.624,5.071,Yes
106,0,F8:0A:DA:33:07:BA,0X1EFF4C00121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F99370136,0X121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F99370136,-23,-48,-55,-71,-77,0.461,1.201,2.723,4.109,5.164,Yes
107,0,F8:0A:DA:33:07:BA,0X1EFF4C00121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F9937014D,0X121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F9937014D,-22,-48,-56,-72,-76,0.412,1.989,3.082,2.978,5.011,Yes
108,0,F8:0A:DA:33:07:BA,0X1EFF4C00121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F9937014D,0X121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F9937014D,-24,-47,-56,-74,-83,0.416,1.432,2.745,4.115,7.734,Yes
109,0,F8:0A:DA:33:07:BA,0X1EFF4C00121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F9937014D,0X121910EC932CEEC3ED5D9A5BC697F417E838463EDBC55F9937014D,-28,-48,-60,-74,-83,0.234,1.077,1.314,4.804,4.379,Yes
110,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
111,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
112,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
113,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
114,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
115,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
116,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
117,0,E0:96:9E:0A:D5:15,0X1EFF4C001219103EF3CAC02A1E21566F92AA84CA730352231F1EA995CE0115,0X1219103EF3CAC02A1E21566F92AA84CA730352231F1EA995CE0115,-25,-47,-53,-72,-78,0.237,0.818,2.519,3.385,6.876,Yes
118,0,E9:18:1C:C4:DF:D4,0X1EFF4C00121910E06D16E474A7B514F516B3E41E3F9F0F58E2926A28A701D4,0X121910E06D16E474A7B514F516B3E41E3F9F0F58E2926A28A701D4,-27,-46,-54,-70,-84,0.445,1.454,2.935,3.554,8.372,Yes
119,1,E0:96:9E:0A:D5:15,0X1EFF4C001219103EF3CAC02A1E21566F92AA84CA730352231F1EA995CE0115,0X1219103EF3CAC02A1E21566F92AA84CA730352231F1EA995CE0115,-25,-46,-55,-74,-76,0.373,1.748,2.533,3.605,6.832,Yes
120,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
121,0,E0:96:9E:0A:D5:15,0X1EFF4C001219103EF3CAC02A1E21566F92AA84CA730352231F1EA995CE01A9,0X1219103EF3CAC02A1E21566F92AA84CA730352231F1EA995CE01A9,-27,-49,-54,-74,NA,0.495,1.403,1.685,4.507,NA,Yes
122,0,E9:18:1C:C4:DF:D4,0X1EFF4C00121910E06D16E474A7B514F516B3E41E3F9F0F58E2926A28A70133,0X121910E06D16E474A7B514F516B3E41E3F9F0F58E2926A28A70133,-25,-46,-59,-73,NA,0.387,1.788,3.069,3.719,NA,Yes
123,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
124,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
126,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
127,0,FB:BE:01:49:CF30,0X1EFF4C001219102535C8163BF3FCB94EC444D8E596CCAB58DBAD8AC1030130,0X1219102535C8163BF3FCB94EC444D8E596CCAB58DBAD8AC1030130,-23,-48,-58,-73,NA,0.31,1.615,2.801,4.574,NA,Yes
128,0,FB:BE:01:49:CF30,0X1EFF4C001219102535C8163BF3FCB94EC444D8E596CCAB58DBAD8AC10301CD,0X1219102535C8163BF3FCB94EC444D8E596CCAB58DBAD8AC10301CD,-25,-46,-59,-71,NA,0.349,1.231,1.251,3.008,NA,Yes
129,0,FB:BE:01:49:CF30,0X1EFF4C001219102535C8163BF3FCB94EC444D8E596CCAB58DBAD8AC10301A8,0X1219102535C8163BF3FCB94EC444D8E596CCAB58DBAD8AC10301A8,-23,-45,-57,-70,NA,0.395,1.417,2.138,2.864,NA,Yes
130,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
131,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
132,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
